Судлагдахууны нэр,Ангийн нэр,Нэгжийн нэр,№,Ээлжит хичээл,Ээлжит хичээлийн зорилго
Математик,6-р анги,Дараалал,L83,Дарааллын амьдрал дахь хэрэглээ,"Байгаль дахь болон өдөр тутмын амьдралд тохиолддог сонирхолтой зүй тогтлуудыг тоон болон дүрсэн дараалал болгон загварчлах, төрөл бүрийн сонирхолтой зүй тогтол бүхий дараалал зохиох, дарааллын зүй тогтлыг олж үргэлжлүүлэх математик дасгал ажиллаж дараалал, түүний олон хэлбэрийг ойлгох, асуудал шийдвэрлэх чадвараа хөгжүүлэх"
Математик,6-р анги,Дараалал,L84,ҮНЭЛГЭЭ-Дараалал,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L85,Функц,"Оролт, гаралтын схем, хүснэгт  хэрэглэн функцийг ойлгох, функцийн дүрмийг тодорхойлж, тайлбарлаж чаддаг болох, шинэ функц зохиох, тайлбарлах "
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L86,Шугаман функцийн харгалзааны дүрэм,"Шугаман функцийн үйлдлийг (дүрмийг) схемээр дүрсэлж үгээр  тайлбарлах, харгалзааны дүрмийг  оролт, гаралтын хүснэгт ашиглан тодорхойлох, ойлгох, функцийн оролтын утга, дүрэм, гаралтын утгуудын аль нэг нь мэдэгдэхгүй үед нөгөө хоёр утгаар нь олох чадвартай болно"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L87,Тэгш өнцөгт координатын хавтгай,"Юмсын байршил, хөдөлгөөнийг тодорхойлоход координатын хавтгайг ашиглан загварчилдаг болохыг ойлгох, координатын хавтгайн бүх мужид цэгийн координатыг олох, өгсөн координаттай цэгийг зөв байгуулж, уншиж бичиж сурах"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L88,Шууд пропорционал хамаарлын график,"Амьдралд тохиолддог шууд пропорционал хамаарлыг  ТӨКС-д (I мөчид) графикаар дүрслэн харуулах замаар шууд пропорционал хамаарлын график нь шулуун шугам байдгийг мэдэх, шууд пропорционал хамаарлын графикийг уншиж, зарим утгуудыг график хэрэглэн олох, тайлбарлах, асуултад хариулах,"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L89,бодлого дасгал (Шууд пропорционал хамаарал),"Шууд пропорционал хамаарлын амьдрал дахь жишээг математик загварт оруулан график (I мөчид) байгуулж шийдвэрлэх, өгсөн графикаас хамаарлын талаар дүгнэлт гаргах, тайлбарлах"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L90,Шугаман тэгшитгэлийн график,"y=kx хэлбэрийн хоёр хувьсагчтай шугаман тэгшитгэлийг үнэн байлгадаг (x,y) хосуудыг хамаарлын тэгшитгэл ашиглан олж, уг хос тоонуудыг координатын хавтгай дээр байгуулах замаар тэгшитгэлийн графикийг байгуулж сурах, тэгшитгэлийн график гэж юу болохыг ойлгох"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L91,Шулууны тэгшитгэл,"Координатын эхийг дайрсан шулууны дээр орших цэгүүдийн координатуудын хамаарлыг олж,  тэгшитгэлийг бичиж сурах, хялбар асуудал шийдвэрлэх"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L92,Бодлого дасгал (Шулууны тэгшитгэл),"Өгсөн координаттай цэг шулуун (y=kx) дээр орших эсэхийг шулууны тэгшитгэлд орлуулж, тогтоох, шалгах"
Математик,6-р анги,"Функцэн машин, тэгш өнцөгт координатын хавтгай",L93,"ҮНЭЛГЭЭ-Алгебрын илэрхийлэл, тэгшитгэл","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L94,"Цэг, шулуун, хэрчим, цацраг","Эргэн тойронд байгаа зүйлсийг хавтгайд зураг болгон загварчлахдаа  цэг, шулуун, хэрчим, цацраг, өнцгийг хэрэглэдэг гэдгийг ойлгож, эдгээрийг алдаагүй зурж, хэмжиж,  үсэг ашиглан тэмдэглэх, харилцан байршлыг харьяалагдах, агуулагдах, үл орших, үл харьяалагдах, тэнцүү гэх мэтээр тодорхойлж, тэмдэглэж сурах"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L95,Геометр байгуулалт,"Транспортир, хуваарьтай шугам ашиглан өгсөн зураг дээрх хэрчим, өнцгийг хэмжих, өгсөн хэмжээтэй өнцөг, хэрчим, цацраг зурах, цэг, шулуун, хэрчим, цацраг байгуулж дүрс, хээ зурах, зохиомжлох, математик тэмдэглэгээг уншиж ойлгоод зураг болгон буулгах"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L96,"Перпендикуляр, параллел шулуунууд","Амьдралд хамгийн түгээмэл байдаг жишээн дээр тулгуурлан перпендикуляр, параллел шулууны тухай ойлголтоо сэргээн бататгаж, гурвалжин шугам ашиглан өгсөн шулуунтай  перпендикуляр, параллел шулуун байгуулж сурах"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L97,Бүтээлч дасгал (Байгуулалт),"Хэрчим, цацраг, өнцөг, перпендикуляр, парллел шулуун байгуулах чадвараа бататгаж сонирхолтой хээ, зураг зурах, бодит зургаас параллел, перпендикуляр шулууныг ялгаж таних,  зурж дүрслэх чадвартай болно. "
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L98,Өнцөг,"Өмнөх ангид үзсэн тэгш, мохоо, хурц, дэлгэмэл өнцгийн тухай ойлголт, төсөөлөл  дээр тулгуурлан  яагаад өнцөг гэсэн ойлголтыг хэрэглэдэг,  өнцөг хэмжих нэгж (градус), гүйцэд  өнцгийн талаар сонирхолтой жишээ, дасгал ажиллан ойлгож, транспортир ашиглан дурын өнцгийг хэмжих, байгуулах чадвартай болно."
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L99,Хамар ба босоо өнцөг,"Дэлгэмэл өнцгийн хэмжээ 180 градус байдгийг ашиглан хамар ба босоо өнцгүүд, тэдгээрийн  чанарыг ойлгох, математик болон практик асуудал шийдвэрлэхэд хэрэглэх"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L100,Бодлого дасгал (Хамар ба босоо өнцөг),"Төрөл бүрийн сонирхолтой бодлого дасгал ажиллаж хамар ба босоо өнцгийн чанарыг хэрэглэж сурах, практик болон математик асуудал шийдвэрлэх"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L101,Гурвалжин ,"Гурвалжин шугам (миллиметрийн нарийвчлалтай) шугам, транспортир ашиглан өгсөн хэмжээ бүхий хэрчим, өнцөг (хурц, мохоо, тэгш, 180 градусаас их өнцөг) байгуулах  чадвараа бататгаж, өгсөн хэмжээ бүхий гурвалжныг алдаагүй зурах, өгсөн хэмжээс бүхий дан эсвэл  нийлмэл гурвалжнуудаар дүрс, хээ зурах, зохиомжлох замаар ижил хэмжээтэй дүрсийг янз бүрийн байрлалд зурахад (параллел зөөлт, эргүүлэлт, толин ойлт хийх ) шинж чанар нь хадгалагддаг болохыг ойлгох "
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L102,Гурвалжны тэнцэтгэл биш,"Туршилт хийх замаар гурвалжны тэнцэтгэл бишийг ойлгох, томьёолох, шалгах"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L103,"Бодлого дасгал (Гурвалжин, гурвалжны тэнцэтгэл биш)","Гурвалжны тэнцэтгэл бишийг хэрэглэж асуудал шийдвэрлэх, хэрэглээг ойлгох"
Математик,6-р анги,"Хэмжих, зурах, гурвалжны тэнцэтгэл биш",L104,"ҮНЭЛГЭЭ-Хэмжих, зурах, гурвалжны тэнцэтгэл биш","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Тойрог ба олон өнцөгт,L105,Олон өнцөгт,"Тахир шугам, битүү тахир шугам, олон өнцөгтийн диагональ, гүдгэр ба гүдгэр биш олон өнцөгтийг таньдаг, нэрлэдэг, олон өнцөгтийг тодорхой шинжээр нь ангилан зураг, схемээр дүрслэх"
Математик,6-р анги,Тойрог ба олон өнцөгт,L106,Гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр ,"Гурвалжны дотоод өнцгүүдийн нийлбэр 180 градус байдгийг сэргээн баталж, энэ чанарыг ашиглан гүдгэр 4, 5, 6 өнцөгтийн дотоод өнцгүүдийн нийлбэрийг олох, гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр олох аргыг ойлгох"
Математик,6-р анги,Тойрог ба олон өнцөгт,L107,Бодлого дасгал (олон өнцөгтийн дотоод өнцгүүдийн нийлбэр),"Олон өнцөгтийн дотоод өнцгүүдийн нийлбэрийн чанар ашиглан асуудал шийдвэрлэх сонирхолтой дасгал ажиллаж мэдлэг, чадвараа бататгах"
Математик,6-р анги,Тойрог ба олон өнцөгт,L108,Квадрат ба тэгш өнцөгт,"Бага ангид үзсэн дөрвөн өнцөгт, зөв ба зөв биш олон өнцөгтийн талаарх анхны ойлголт, мэдлэг, чадварыг бататган квадрат ба тэгш өнцөгтийг зурах, хэмжих, ажиглах явцдаа шинж чанаруудыг тодорхойлох, асуудал шийдвэрлэх"
Математик,6-р анги,Тойрог ба олон өнцөгт,L109,Параллелограмм ба ромбо,"Хэмжих, зурах талаар өмнөх мэдлэг, чадвараа бататган параллелограмм ба ромбыг зурах, хэмжих, ажиглах явцдаа шинж чанаруудыг тодорхойлох, математик тэмдэглэгээг хэрэглэх,  асуудал шийдвэрлэх"
Математик,6-р анги,Тойрог ба олон өнцөгт,L110,Трапец,"Трапецыг зурах, хэмжих, ажиглах явцдаа шинж чанаруудыг тодорхойлох, математик тэмдэглэгээг хэрэглэх, өмнө үзсэн гүдгэр дөрвөн өнцөгтүүдтэй харьцуулан онцлог шинжийг тодорхойлох "
Математик,6-р анги,Тойрог ба олон өнцөгт,L111,Бодлого дасгал (Дөрвөн өнцөгтүүд),"Өмнөх хичээлүүдээр судалсан гүдгэр дөрвөн өнцөгтүүдийг тал, өнцгийн шинжүүдээр нь ангилж, дүгнэлт гаргах"
Математик,6-р анги,Тойрог ба олон өнцөгт,L112,Тойрог ба дугуй,"Хавтгайн нэг цэгээс ижил зайд орших цэгүүдийг байгуулах замаар тойрог, тойргийн радиус, тойргоор хашигдсан (өгсөн цэгээс радиусаас ихгүй зайд орших цэгүүдийн олонлогийг) хавтгайн хэсгийг дугуй гэж нэрлэдгийг мэдэх, ойлгох, өгсөн радиустай тойрог байгуулах, сонирхолтой дадлага  ажил хийх явцдаа тойргийн элементүүдийг таньж, шинж чанарыг ойлгож, нэрлэж, бичиж, байгуулж, тэмдэглэж сурах"
Математик,6-р анги,Тойрог ба олон өнцөгт,L113,Хавтгайн дүрсүүд,"Тойрог болон бусад дүрсүүд дангаар нь болон хослуулан ашиглаж шинэ хээ, зураг дүрслэл зохиох, сонирхолтой  зураг дүрслэл, хээг ажиглах замаар тойрог болон бусад дүрсүүдийг байгуулж сурах, шинж чанарыг  танин мэдэх, бүтээл хийх"
Математик,6-р анги,Тойрог ба олон өнцөгт,L114,ҮНЭЛГЭЭ-Тойрог ба олон өнцөгт,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Биетүүд,L115,Куб ба тэгш өнцөгт параллелепипед,"Куб, тэгш өнцөгт параллелепипедийг зурах, ялгаатай дэлгээсүүд зохиох (дэлгээсийг ялган таних ), нийлмэл биет үүсгэх зэрэг бүтээлч дасгал ажиллаж,  орой, ирмэг, талсын тоо, ялгаатай болон ижил шинж чанаруудыг тодорхойлох"
Математик,6-р анги,Биетүүд,L116,Призм ба пирамид,"Призм, пирамидыг изометр цаас хэрэглэн зурах, эдгээрийн суурь, хажуу талсыг таних, нэрлэх, зурах зэрэг бүтээлч дасгал ажиллаж,  орой, ирмэг, талсын тоог харьцуулан биет бүрийн онцлог болон нийтлэг шинж чанаруудыг тодорхойлох"
Математик,6-р анги,Биетүүд,L117,"Цилиндр, бөмбөрцөг, конус","Цилиндр, конус, бөмбөрцгийг зурах, бүтээх (төмөр утас, баримлын шавраар хийх гэх мэт),  ахуй амьдрал дахь загварыг хэрэглэн хавтгайд дүрслэн зурах зэргээр эдгээр биетийн ижил болон ялгаатай шинжийг тодорхойлох "
Математик,6-р анги,Биетүүд,L118,Огторгуйн биетүүд,"Өмнөх хичээлүүдээр судалсан биетүүдийг зурах, хялбар нийлмэл биет бүтээх,, амьдрал дахь бодит загваруудыг хялбар биетүүдээр загварчлан зурах (гараар болон мэдээллийн технологи ашиглан)  зэрэг  бүтээлч даалгавар ажиллаж огторгуйн биетүүдийн шинж чанарыг танин мэдэх, бүтээл хийх"
Математик,6-р анги,Биетүүд,L119,ҮНЭЛГЭЭ-Биетүүд,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
,,Хавтгай дахь дүрсийн хувиргалт ,L120,Тэгш өнцөгт координатын хавтгай,"Тэгш өнцөгт координатын системийн (координатын эх, нэгж хэрчим, координатын тэнхлэгүүд, мөч) талаарх өмнөх ойлголтыг сэргээн бататгаад, коодинатын хавтгайд бүхэл тоон координаттай цэг байгуулах,  тэмдэглэх,  өгсөн цэгийн координатыг бичих, өгсөн цэгүүдээс кординатын тэнхлэгийн хувьд, мөн координатын эхийн хувьд тэгш хэмтэй цэгүүдийг олох, нэмж тэмдэглэх гэх мэт координатын хавтгайн талаар системтэй мэдлэг, чадвар эзэмших "
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L121,Координатын хавтгайд дүрс байгуулах,"Координатын хавтгайд бүхэл тоон координаттай цэгүүдийг тэмдэглэн хооронд нь холбож дүрс байгуулах, координатын хавтгайд өгсөн хялбар дүрсийн оройн цэгүүдийн координатуудыг олох, тэмдэглэж бичих, сонирхолтой дасгал, даалгавар (тоглоом) ажиллах явцдаа координатын эхийн болон тэнхлэгийн хувьд тэгш хэмтэй цэгүүдийн координатууд хоорондоо ямар хамааралтай байгааг ажиглаж, дүгнэлт гаргах "
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L122,Тэгш хэмт дүрс,"Байгаль дахь сонирхолтой тогтоц болон тэгш хэмт чанар ашиглан хүний гараар хийсэн бүтээлүүдийг ажиглах, хэмжилт хийх, туршилт хийх  замаар дүрсийн тэгш хэмт чанарыг (тэнхлэгийн, төвийн) ойлгох,  тэгш хэмийн тэнхлэг болон төвийг байгуулах, тэгш хэмтэй (тэнхлэгийн, төвийн) дүрсүүдийг таних, хялбар дүрсүүдийг тэгш хэмт чанараар нь ангилах, тэгш хэм ашиглан хялбар байгуулалт хийж дүрс, хээ зурах,"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L123,Параллел зөөлт,"Амьдрал дахь хялбар шилжилт хөдөлгөөнийг координатын хавтгай дээр загварчлан дүрсэлж (координатын хавтгайд дүрс байгуулж), шилжилт хөдөлгөөний чиглэл, зайг координатаар илэрхийлж болох ба хувиргалтаар дүрсийн хэлбэр хэмжээ хадгалагддаг болохыг хэмжилт хийх нугалах, хайчлах зэрэг практик аргаар нотлох, координатын хавтгайд өгсөн дүрсийг параллел зөөлтөөр хувиргахад цэгийн координат хэрхэн өөрчлөгдөж байгааг ажиглаж, өгсөн дүрсийг өгсөн   координатаар (чиглэлд) хувирган зурах  чадвартай болох"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L124,Тэнхлэгийн тэгш хэмийн хувиргалт ,"Тэнхлэгийн тэгш хэмтэй дүрсийн чанарыг ашиглан хавтгайн цэг ба дүрсийг өгсөн шулууны хувьд тэгш хэмтэй хувиргаж сурах, хувиргалтаар хэрчмийн урт, өнцгийн хэмжээ, параллел чанар (дүрсийн хэлбэр, хэмжээ) хадгалагддаг болохыг хэмжилт хийх, нугалах, хайчлах зэрэг практик аргаар нотлох, координатын тэнхлэгүүдийн хувьд тэгш хэмтэй хувиргалт хийхэд үүсэн дүрийн координат нь эх дүрсийн координаттай ямар хамааралтай байгааг ажиглаж дүгнэлт хийх, тэнхлэгийн тэгш хэмийн хувиргалтын амьдрал дахь жишээн дээр ярилцаж хэрэглээг ойлгох"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L125,Төвийн тэгш хэмийн хувиргалт,"Төвийн тэнг хэмтэй дүрсийн чанар ашиглан хавтгайн цэг ба дүрсийг өгсөн цэгийн хувьд тэгш хэмтэй хувиргах, хувиргалтаар хэрчмийн урт, өнцгийн хэмжээ, параллел чанар (дүрсийн хэлбэр, хэмжээ)  хадгалагддаг болохыг хэмжилт хийх, нугалах, хайчлах зэрэг практик аргаар нотлох, координатын эхний хувьд тэгш хэмтэй хувиргалт хийхэд үүсэн дүрийн координат нь эх дүрсийн координаттай ямар хамааралтай байгааг ажиглаж дүгнэлт хийх, төвийн тэгш хэмийн хувиргалтын амьдрал дахь жишээн дээр ярилцаж хэрэглээг ойлгох"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L126,Бодлого дасгал (хувиргалтууд),"Дүрсийг параллел зөөлт, тэнхлэгийн болон төвийн тэгш хэмээр хувиргах дасгал ажиллаж хувиргалт бүрийн онцлог, ялгаатай болон ижил талуудыг мэдэх"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L127,Хавтгай дахь дүрсийн хувиргалтын хэрэглээ,"Дүрсийн хувиргалт (параллел заалт, тэнхлэгийн тэнг хэм, төвийн тэгш хэм) ашиглан шинэ бүтээл (хээ, зураг төсөл) хийх, байгалийн тогтоц, хүний гараар бүтээсэн эд зүйлс зэрэгт тэгш хэм хэрхэн оршиж байдгийг ажиглах, судлах зэрэг бүтээлч даалгавар гүйцэтгэж  хувиргалтын тухай ойлголтоо бататгах, хэрэглээг ойлгох, хэрэглэх"
Математик,6-р анги,Хавтгай дахь дүрсийн хувиргалт ,L128,ҮНЭЛГЭЭ-Хавтгай дахь дүрсийн хувиргалт ,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L129,Багтаамжийг хэмжих нэгж,"Багтаамжийг хэмжих нэгжүүд, тэдгээрийн хамаарлыг сэргээн бататгаж, нэгж шилжүүлэх, аливаа зүйлийн эзлэхүүнийг хэмжих нэгжийг оновчтой сонгохтой холбоотой өдөр тутмын амьдралд тохиолддог жишээ, дасгал ажиллах, хэмжих нэгжийг оновчтой сонгож сурах"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L130,Уртыг хэмжих нэгж,"Уртыг хэмжих нэгжүүд, тэдгээрийн хамаарлыг сэргээн бататгаж, нэгж шилжүүлэх, аливаа зүйлийн уртыг хэмжих нэгжийг оновчтой сонгохтой холбоотой өдөр тутмын амьдралд тохиолддог жишээ, дасгал ажиллах, хэмжих нэгжийг оновчтой сонгож сурах"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L131,Хүндийг хэмжих нэгж,"Хүндийг хэмжих нэгжүүд, тэдгээрийн хамаарлыг сэргээн бататгаж, нэгж шилжүүлэх, аливаа зүйлийн жинг хэмжих нэгжийг оновчтой сонгохтой холбоотой өдөр тутмын амьдралд тохиолддог жишээ, дасгал ажиллах, хэмжих нэгжийг оновчтой сонгож сурах"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L132,Хэмжих нэгжээ оновчтой сонгох-Бодлого дасгал,"Их нэгжийг бага нэгжид, бага нэгжийг их нэгжид шилжүүлэх нийтлэг дүрмийг ойлгох, хэрэглэх,  нэгж шилжүүлэхтэй холбоотой өдөр тутмын амьдралд тохиолддог асуудлуудыг шийдэхдээ тохиромжтой нэгжийг сонгож хэрэглэх, нэгж  шилжүүлэх, тооцоолол хийхдээ математик арга техник хэрэглэх зэргээр шийдлийг хялбар аргаар олох аргад суралцах"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L133,"12 ба 24 цагийн систем, цагийн хуваарь","Хугацааг хэмжих, хугацааны нэгжүүдийн хамаарлыг мэдэх, нэгж шилжүүлэх, тохиромжтой нэгжийг сонгож хэрэглэх,  хугацааг энгийн бутархай, аравтын бутархайгаар зөв илэрхийлэх, 24 ба 12 цагийн системд өгсөн цагийг уншиж ойлгох, бичиж тэмдэглэх, үйл явдлын үргэлжлэх хугацааг тооцоолох, цагийн хуваарийг уншиж ойлгох, хуваарь зохиох гэх мэт өдөр тутамдаа болон тодорхой орчин, нөхцөлд цаг хугацааг зөв тооцоолох, хэрэглэх чадварт суралцах"
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L134,Аналоги ба дижитал багаж,"Цаг хугацаа, багтаамж, урт, хүндийг хэмжих аналог ба дижитал багажийн хуваарийг ойлгох, хэрэглэх "
Математик,6-р анги,"Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд",L135,"ҮНЭЛГЭЭ-Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр",L136,Талбайг хэмжих нэгж,"Талбайг хэмжих нэгжүүдийг сэргээн бататгаж, талбайг хэмжихдээ яагаад ""квадрат""-аар илэрхийлдгийг ойлгох, нэгжүүдийн хоорондын холбоо хамаарлыг мэдэх, хэрэглэх, их бага нэгжийг хооронд нь шилжүүлэх, талбай олохтой холбоотой асуудал шийдвэрлэх"
Математик,6-р анги,"Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр",L137,Тэгш өнцөгтийн периметр ба талбай,"Тэгш өнцөгтийн онцлог шинжийг ашиглан периметр, талбай олох томьёоны гаргалгаа хийх, ойлгох, тэгш өнцөгт гурвалжны талбайг олох, хавтгайн хялбар дүрсүүдийн талбайг тэгш өнцөгт, тэгш өнцөгт гурвалжнуудад хуваах замаар тооцоолж олох, практик болон математик асуудал шийдвэрлэх"
Математик,6-р анги,"Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр",L138,Нийлмэл дүрсийн талбай,"Тэгш өнцөгтүүдээс тогтсон нийлмэл дүрсийн талбай, периметрийг олох янзын аргаар олох, дүрсийн талбай олох, нэгж шилжүүлэх, тохиромжтой нэгжийг сонгож хэрэглэх асуудал шийдвэрлэх "
Математик,6-р анги,"Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр",L139,"Тэгш өнцөгтийн хэмжээ (урт, өргөн) ба талбай, периметрийн хамаарал","Тэгш өнцөгтийн аль нэг хэмжээсийг тодорхой тоо дахин ихэсгэхэд (багасгахад) периметр ба талбай хэрхэн өөрчлөгдөж байгааг туршилт хийж тогтоох, дүгнэлт гаргах, амьдралд тохиолддог сонирхолтой, асуудал шийдэх тооцоолол хийх"
Математик,6-р анги,"Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр",L140,"ҮНЭЛГЭЭ-Тэгш өнцөгт ба нийлмэл дүрсийн талбай, периметр","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Тэгш өнцөгт параллелепипедийн гадаргуугийн талбай, эзлэхүүн",L141,Гадаргуугийн талбай,"Биетийн гадаргуугийн талбай гэсэн ойлголтыг тэгш өнцөгт параллелепипедийн дэлгээсийн талбайг олох замаар ойлгох, куб болон тэгш өнцөгт параллелепипедийн дэлгээсийн ялгаатай хувилбаруудыг олох, гадаргуугийн талбайг тооцоолох ерөнхий томьёоны гаргалгаа хийх, томьёо ашиглан асуудал шийдвэрлэх"
Математик,6-р анги,"Тэгш өнцөгт параллелепипедийн гадаргуугийн талбай, эзлэхүүн",L142,Эзлэхүүн,"Нэгж кубүүдээр тэгш өнцөгт параллелепипед үүсгэж биетийн эзлэхүүн, түүний хэмжих нэгжийн тухай ойлголттой болох, тэгш өнцөгт параллелепипедийн эзлэхүүн олох томьёоны гаргалгаа хийх, томьёог ашиглаж асуудал шийдвэрлэх"
Математик,6-р анги,"Тэгш өнцөгт параллелепипедийн гадаргуугийн талбай, эзлэхүүн",L143,Бодлого дасгал (Тэгш өнцөгт параллелепипедийн эзлэхүүн ба гадаргуугийн талбай),"Тэгш өнцөгт параллелепипедийн эзлэхүүн ба гадаргуугийн талбай олохтой холбоотой практик асуудал шийдвэрлэх, ялгаатай нэгжээр хэмжээсүүд нь өгөгдсөн параллелепипедийн эзлэхүүн, гадаргуугийн талбайг олох, нийлмэл биетийн эзлэхүүн, гадаргуугийн талбайг олох гэх мэт асуудал шийдвэрлэх сонирхолтой бодлого дасгал ажиллаж мэдлэг чадвараа бататгах"
Математик,6-р анги,"Тэгш өнцөгт параллелепипедийн гадаргуугийн талбай, эзлэхүүн",L144,"ҮНЭЛГЭЭ-Урт, хүнд, багтаамж, хугацааг хэмжих нэгжүүд","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L145,Өгөгдөл цуглуулах арга,"Өдөр тутамд тохиолддог хялбар асуудал (үзэгдэл)-ыг сонгон авч, илэрсэн үзэгдлийг  (туршилтын үр дүнг ) давтамжийн хүснэгтэд бүртгэж, үр дүнг нэгтгэх, цуглуулсан тоон мэдээллийг нэгтгэж дүгнэлт гаргах явцдаа мэдээлэл цуглуулах, туршилтын үр дүнг хялбар аргаар, алдаагүй бүртгэх аргад суралцах"
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L146,Баганан диаграмм ба пиктограмм,"Өгөгдлийг баганан диаграмм ба пиктограммаар дүрслэх, харилцан шилжүүлэх, баганан диаграмм болон гистограммаар дүрсэлсэн мэдээллийг уншиж ойлгох, тайлбарлах, дүгнэлт гаргах, ямар тохиолдолд аль хэлбэрийг сонгох нь тохиромжтой байдгийг жишээ дасгал ажиллаж ойлгох"
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L147,Дугуй диаграмм,"Дугуй диаграммаар дүрсэлсэн мэдээллийг уншиж, ойлгох, тайлбарлах, дүгнэлт гаргах, дугуй диаграмм байгуулах (өгөгдлийн тоо, хэмжээ нь 360°-ийн хуваагч, хуваагдагч байх, эсвэл хялбар процентоор илэрхийлэгддэг тохиолдолд), өгсөн загвараар дугуй диаграмм  байгуулах, дугуй диаграммын онцлог, ямар тохиолдолд өгөгдлийг дугуй диаграммаар дүрслэх нь тохиромжтой байдгийг сонирхолтой жишээ дасгал ажиллах явцад ойлгох"
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L148,Шугаман график,"Шугаман графикаар дүрслэгдсэн өдөр тутамд тохиолддог, сонирхолтой, хэрэгцээтэй  мэдээллийг уншиж ойлгох, дүгнэлт гаргах,  шугаман графикийн онцлогийг ойлгох, ямар мэдээллийг шугаман графикаар дүрслэх нь тохиромжтой/тохиромжгүй болохыг эргэцүүлэн бодож дүгнэлт хийх"
